First Name,Email ID,Quantity,Events,Attendee Status,College Name,Event_Source,Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family_Income(Lack),Expected salary (Lack),Leadership- skills
theodore,theodore@xyz.com,1,skill and employability enhancement,attending,silicon institute of technology,whatsapp,students,2025,mysuru,8.5,8,0-2,9,no
russell,russell@xyz.com,1,skill and employability enhancement,attending,adhiyamaan college of engineering,others,students,2024,kochi,9.1,8,0-2,17,no
manuel,manuel@xyz.com,1,skill and employability enhancement,attending,don bosco college of engineering fatorda goa,whatsapp,students,2024,kollam,7.7,3,0-2,13,yes
amanda,amanda@xyz.com,1,skill and employability enhancement,attending,government polytechnic gandhinagar,others,students,2026,indore,7.3,5,0-2,18,no
jennifer,jennifer@xyz.com,1,skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",spoc|college professor,students,2024,guna,7.3,8,0-2,12,yes
donald,donald@xyz.com,1,skill and employability enhancement,attending,"vishwakarma institute of technology, pune",whatsapp,students,2025,gwalior,9.4,6,0-2,23,no
vincent,vincent@xyz.com,1,skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",email,students,2024,narwar,6.6,5,0-2,8,no
laura,laura@xyz.com,1,skill and employability enhancement,attending,new horizon institute of technology and management ,spoc|college professor,students,2025,satna,7.7,5,0-2,13,no
helen,helen@xyz.com,1,skill and employability enhancement,attending,late g. n. sapkal college of engineering,email,students,2024,ujjain,8.1,8,0-2,19,yes
randolph,randolph@xyz.com,1,skill and employability enhancement,attending,a. c. patil college of engineering,others,students,2023,aurangabad,8.3,3,0-2,6,no
hilda,hilda@xyz.com,1,skill and employability enhancement,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,email,students,2023,dhule,6.8,8,0-2,19,no
alvaro,alvaro@xyz.com,1,skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",whatsapp,students,2026,kalyan,7.9,3,0-2,11,no
betty,betty@xyz.com,1,skill and employability enhancement,attending,adhiyamaan college of engineering,email,students,2023,mumbai,8.9,3,0-2,10,no
willie,willie@xyz.com,1,skill and employability enhancement,attending,pillai college of engineering new panvel,instagram,students,2025,nanded,7.2,8,0-2,15,yes
philip,philip@xyz.com,1,skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",email,students,2024,karli,9.5,3,0-2,20,no
adrianne,adrianne@xyz.com,1,skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2026,solapur,9.3,8,0-2,21,no
melvin,melvin@xyz.com,1,skill and employability enhancement,attending,"vishwakarma institute of technology, pune",others,students,2024,satara,9.6,5,0-2,7,no
francis,francis@xyz.com,1,skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,students,2025,sangli,9.1,8,7-8,21,no
kyle,kyle@xyz.com,1,skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2025,sangola,7.3,3,0-2,5,yes
ronald,ronald@xyz.com,1,skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2024,ulhasnagar,7.6,8,0-2,21,no
gregory,gregory@xyz.com,1,skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2025,puri,9.1,3,0-2,20,no
marie,marie@xyz.com,1,skill and employability enhancement,attending,st.francis institute of technology,whatsapp,students,2023,konark,6.7,8,0-2,9,yes
laurie,laurie@xyz.com,1,skill and employability enhancement,attending,new horizon institute of technology and management ,facebook,students,2025,cuttack,7.1,6,0-2,13,yes
carmen,carmen@xyz.com,1,skill and employability enhancement,attending,late g. n. sapkal college of engineering,youtube,students,2026,baleshwar,7.1,8,0-2,24,no
jesus,jesus@xyz.com,1,skill and employability enhancement,attending,"mit academy of engineering ,alandi",cloud counselage website,students,2023,amritsar,9.2,5,0-2,11,yes
vara,vara@xyz.com,1,skill and employability enhancement,attending,wilson college ,others,students,2024,sangrur,7.3,8,0-2,8,no
shaikh,shaikh@xyz.com,1,skill and employability enhancement,attending,government polytechnic gandhinagar,others,students,2024,jaipur,8.4,8,0-2,21,no
yadav,yadav@xyz.com,1,skill and employability enhancement,attending,d y patil institute of mca and management akurdi pune,others,students,2024,jhalwar,9.2,3,0-2,24,no
shaikh,shaikh@xyz.com,1,skill and employability enhancement,attending,pillai college of engineering new panvel,others,students,2025,pali,9.9,5,0-2,21,yes
gupta,gupta@xyz.com,1,skill and employability enhancement,attending,st xavier's college ,others,students,2024,sikar,7.6,3,0-2,17,no
gupta,gupta@xyz.com,1,skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",others,students,2026,gangtok,9.3,6,0-2,18,no
shreya,shreya@xyz.com,1,skill and employability enhancement,attending,government polytechnic gandhinagar,email,students,2023,agartala,6.6,6,0-2,8,no
ashok,ashok@xyz.com,1,skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",others,students,2024,gonda,7.2,8,0-2,8,yes
dhara,dhara@xyz.com,1,skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",others,students,2024,ghazipur,7.1,3,0-2,9,no
prakash,prakash@xyz.com,1,skill and employability enhancement,attending,st.francis institute of technology,spoc|college professor,students,2023,ghaziabad,8.0,8,0-2,9,no
sunil,sunil@xyz.com,1,skill and employability enhancement,attending,"ld college of engineering, ahmedabad, gujarat ",spoc|college professor,students,2024,kanpur,8.8,6,0-2,12,no
shah,shah@xyz.com,1,skill and employability enhancement,attending,dkte society's textile and engineering institute ichalkaranji,linkedin,students,2023,lucknow,9.3,3,0-2,23,yes
prakash,prakash@xyz.com,1,skill and employability enhancement,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,spoc|college professor,students,2024,mainpuri,6.5,6,0-2,9,no
shailesh,shailesh@xyz.com,1,skill and employability enhancement,attending,st xavier's college ,telegram,students,2025,malda,9.2,3,0-2,20,no
kishor,kishor@xyz.com,1,skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",email|cloud counselage website,students,2026,palashi,9.9,5,0-2,15,yes
sawarkar,sawarkar@xyz.com,1,skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,youtube|email,students,2024,siliguri,7.1,3,0-2,19,no
sunil,sunil@xyz.com,1,skill and employability enhancement,attending,government polytechnic gandhinagar,spoc|college professor,students,2024,silguri,7.5,8,0-2,13,no
kailas,kailas@xyz.com,1,skill and employability enhancement,attending,"vishwakarma institute of technology, pune",others,students,2023,talmuk,7.4,8,0-2,12,yes
sopan,sopan@xyz.com,1,skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",others,students,2023,talmuk,8.3,3,0-2,10,no
sharma,sharma@xyz.com,1,skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2024,siuri,7.4,6,0-2,10,no
yadav,yadav@xyz.com,1,skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",others,students,2024,orchha,7.3,5,0-2,15,yes
ranjeet,ranjeet@xyz.com,1,skill and employability enhancement,attending,"vishwakarma institute of technology, pune",others,students,2025,sagar,9.7,6,0-2,26,no
ramesh,ramesh@xyz.com,1,skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",others,students,2025,satna,7.9,8,0-2,20,no
sawarkar,sawarkar@xyz.com,1,skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",youtube|email,students,2025,ujjain,7.2,6,0-2,21,no
dilip,dilip@xyz.com,1,skill and employability enhancement,attending,st.francis institute of technology,others,students,2024,vidisha,7.1,6,0-2,9,no
chandrakant,chandrakant@xyz.com,1,skill and employability enhancement,attending,late g. n. sapkal college of engineering,cloud counselage website,students,2023,aurangabad,8.7,5,0-2,8,yes
gajanan,gajanan@xyz.com,1,skill and employability enhancement,attending,wilson college ,others,students,2025,buldhana,8.5,5,0-2,16,yes
singh,singh@xyz.com,1,skill and employability enhancement,attending,"ld college of engineering, ahmedabad, gujarat ",others,students,2024,dhule,9.1,5,0-2,21,yes
sanjay,sanjay@xyz.com,1,skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,email,students,2024,thane,6.7,6,0-2,20,no
deepak,deepak@xyz.com,1,skill and employability enhancement,attending,government polytechnic gandhinagar,email,students,2025,navi mumbai,8.2,6,0-2,9,yes
avinash,avinash@xyz.com,1,skill and employability enhancement,attending,"vishwakarma institute of technology, pune",whatsapp,students,2023,nagpur,8.7,3,0-2,24,no
ankush,ankush@xyz.com,1,skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",others,students,2026,nanded,9.1,8,7-8,17,no
nilesh,nilesh@xyz.com,1,skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",others,students,2023,mahe,8.9,6,0-2,11,no
prakash,prakash@xyz.com,1,skill and employability enhancement,attending,new horizon institute of technology and management ,spoc|college professor,students,2024,patiala,7.3,8,0-2,8,yes
prajapati,prajapati@xyz.com,1,skill and employability enhancement,attending,a. c. patil college of engineering,whatsapp,students,2023,barmer,7.9,8,0-2,25,yes
sopan,sopan@xyz.com,1,skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",others,students,2023,jhalwar,9.8,5,0-2,8,no
rajaram,rajaram@xyz.com,1,skill and employability enhancement,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,others,students,2025,kota,9.6,8,0-2,21,no
rajaram,rajaram@xyz.com,1,skill and employability enhancement,attending,silicon institute of technology,others,students,2024,pali,6.2,5,0-2,17,no
arun,arun@xyz.com,1,skill and employability enhancement,attending,adhiyamaan college of engineering,others,students,2023,sikar,9.1,6,0-2,18,no
nagendra,nagendra@xyz.com,1,skill and employability enhancement,attending,don bosco college of engineering fatorda goa,others,students,2023,ahemdabad,7.2,3,0-2,9,no
nagendra,nagendra@xyz.com,1,skill and employability enhancement,attending,pillai college of engineering new panvel,others,students,2026,amreli,9.5,8,0-2,18,no
raj,raj@xyz.com,1,skill and employability enhancement,attending,st xavier's college ,cloud counselage website,students,2024,dwarka,6.8,8,0-2,8,yes
santosh,santosh@xyz.com,1,skill and employability enhancement,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,whatsapp,students,2024,jamnagar,9.9,5,0-2,8,no
ajaykumar,ajaykumar@xyz.com,1,skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",others,students,2023,junagadh,6.6,6,0-2,6,no
subhash,subhash@xyz.com,1,skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",others,students,2025,kheda,6.7,5,0-2,7,yes
rohit,rohit@xyz.com,1,skill and employability enhancement,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,whatsapp,students,2023,morbi,7.6,6,0-2,7,yes
nitin,nitin@xyz.com,1,skill and employability enhancement,attending,adhiyamaan college of engineering,others,students,2025,navsari,6.3,3,0-2,5,no
mahendra,mahendra@xyz.com,1,skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",others,students,2024,valsad,8.5,5,0-2,7,no
rajesh,rajesh@xyz.com,1,skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",college,students,2024,faridabad,7.5,3,0-2,6,no
vara,vara@xyz.com,1,skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",others,students,2023,gurugram,8.3,8,0-2,8,yes
sachin,sachin@xyz.com,1,skill and employability enhancement,attending,don bosco college of engineering fatorda goa,whatsapp,students,2023,nizambad,9.9,6,0-2,26,yes
nita,nita@xyz.com,1,skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",others,students,2024,aligarh,7.7,6,0-2,8,no
patel,patel@xyz.com,1,skill and employability enhancement,attending,st.francis institute of technology,email,students,2025,gonda,7.4,3,0-2,9,no
ramchandra,ramchandra@xyz.com,1,talk on skill and employability enhancement,attending,wilson college ,others,students,2025,deoria,9.2,6,0-2,20,no
ravindra,ravindra@xyz.com,1,talk on skill and employability enhancement,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,others,students,2026,lucknow,6.5,8,0-2,9,no
ravindra,ravindra@xyz.com,1,talk on skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",others,students,2023,mathura,7.5,6,0-2,8,yes
vitthal,vitthal@xyz.com,1,talk on skill and employability enhancement,attending,don bosco college of engineering fatorda goa,email,students,2025,haora,6.7,3,0-2,8,yes
khedekar,khedekar@xyz.com,1,talk on skill and employability enhancement,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",others,students,2024,malda,7.2,6,0-2,23,no
khedekar,khedekar@xyz.com,1,talk on skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,others,students,2025,palashi,8.5,3,0-2,9,no
rajendra,rajendra@xyz.com,1,talk on skill and employability enhancement,attending,government polytechnic gandhinagar,others,students,2025,santipur,6.5,8,0-2,7,yes
dilip,dilip@xyz.com,1,talk on skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",others,students,2024,siliguri,6.6,3,0-2,5,yes
pramod,pramod@xyz.com,1,talk on skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,students,2026,siuri,8.1,8,0-2,19,no
rajaram,rajaram@xyz.com,1,talk on skill and employability enhancement,attending,government polytechnic gandhinagar,others,students,2024,talmuk,9.3,6,0-2,23,yes
tanaji,tanaji@xyz.com,1,talk on skill and employability enhancement,attending,"vishwakarma institute of technology, pune",others,students,2025,titagrah,7.6,6,0-2,8,no
priti,priti@xyz.com,1,talk on skill and employability enhancement,attending,st.francis institute of technology,facebook,students,2023,satna,8.5,3,0-2,17,no
dattatray,dattatray@xyz.com,1,talk on skill and employability enhancement,attending,new horizon institute of technology and management ,others,students,2024,ujjain,8.7,3,0-2,13,no
avinash,avinash@xyz.com,1,talk on skill and employability enhancement,attending,late g. n. sapkal college of engineering,whatsapp,students,2026,vidisha,8.3,8,0-2,11,no
ramchandra,ramchandra@xyz.com,1,talk on skill and employability enhancement,attending,"symbiosis institute of technology, pune",others,students,2024,akola,9.4,6,0-2,15,no
vasant,vasant@xyz.com,1,talk on skill and employability enhancement,attending,a. c. patil college of engineering,others,students,2023,bhandara,8.5,8,0-2,18,yes
ravindra,ravindra@xyz.com,1,talk on skill and employability enhancement,attending,dkte society's textile and engineering institute ichalkaranji,others,students,2023,buldhana,7.5,5,0-2,8,no
vaishnavi,vaishnavi@xyz.com,1,talk on skill and employability enhancement,attending,government polytechnic gandhinagar,email,students,2023,kalyan,7.3,6,0-2,13,no
dattatray,dattatray@xyz.com,1,talk on skill and employability enhancement,attending,"vishwakarma institute of technology, pune",others,students,2024,navi mumbai,9.4,5,0-2,25,no
ramnath,ramnath@xyz.com,1,talk on skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",others,students,2025,mumbai,6.6,8,0-2,22,yes
ramnath,ramnath@xyz.com,1,talk on skill and employability enhancement,attending,a. c. patil college of engineering,others,students,2024,ajmer,8.3,6,0-2,13,yes
tanaji,tanaji@xyz.com,1,talk on skill and employability enhancement,attending,wilson college ,others,students,2025,amer,7.7,3,0-2,11,no
bhausaheb,bhausaheb@xyz.com,1,talk on skill and employability enhancement,attending,"ld college of engineering, ahmedabad, gujarat ",others,students,2023,barmer,8.0,8,0-2,12,no
hemant,hemant@xyz.com,1,talk on skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2026,jaipur,9.4,6,0-2,18,yes
ravi,ravi@xyz.com,1,talk on skill and employability enhancement,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,spoc|college professor,students,2023,jhalwar,6.7,6,0-2,15,no
hemant,hemant@xyz.com,1,talk on skill and employability enhancement,attending,silicon institute of technology,whatsapp,students,2025,jodhpur,7.9,3,0-2,12,no
puja,puja@xyz.com,1,talk on skill and employability enhancement,attending,don bosco college of engineering fatorda goa,whatsapp,students,2023,pali,6.9,3,0-2,21,no
singh,singh@xyz.com,1,talk on skill and employability enhancement,attending,st xavier's college ,others,students,2024,ahemdabad,8.3,5,0-2,9,no
dinkar,dinkar@xyz.com,1,talk on skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",others,students,2023,amreli,7.2,5,0-2,8,no
tanaji,tanaji@xyz.com,1,talk on skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",others,students,2025,junagadh,7.5,8,0-2,16,no
rajendra,rajendra@xyz.com,1,talk on skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",others,students,2024,kheda,7.9,8,0-2,21,no
subodh,subodh@xyz.com,1,talk on skill and employability enhancement,attending,st.francis institute of technology,others,students,2024,morbi,9.3,6,0-2,19,yes
dilip,dilip@xyz.com,1,talk on skill and employability enhancement,attending,"mit academy of engineering ,alandi",others,students,2025,rajkot,7.5,3,0-2,13,no
rajesh,rajesh@xyz.com,1,talk on skill and employability enhancement,attending,"thakur institute of management studies, career development & research - [timscdr]",college,students,2023,faridabad,6.7,8,0-2,8,no
shubhangi,shubhangi@xyz.com,1,talk on skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2024,tirupati,7.1,8,0-2,8,yes
vasant,vasant@xyz.com,1,talk on skill and employability enhancement,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,others,students,2025,eluru,9.2,8,0-2,25,no
somnath,somnath@xyz.com,1,talk on skill and employability enhancement,attending,don bosco college of engineering fatorda goa,linkedin|email,students,2025,tezpur,7.3,8,0-2,24,yes
anant,anant@xyz.com,1,talk on skill and employability enhancement,attending,st xavier's college ,spoc|college professor,students,2026,burani,9.1,6,0-2,19,no
sunil,sunil@xyz.com,1,talk on skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",spoc|college professor,students,2024,dehri,6.9,6,0-2,21,no
sandeep,sandeep@xyz.com,1,talk on skill and employability enhancement,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",email,students,2023,aurangabad,8.4,5,0-2,17,yes
komal,komal@xyz.com,1,talk on skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,email,students,2025,bhandara,6.7,8,0-2,18,no
sudhir,sudhir@xyz.com,1,talk on skill and employability enhancement,attending,government polytechnic gandhinagar,whatsapp,students,2023,bhsawal,9.2,6,0-2,18,no
jadhav,jadhav@xyz.com,1,talk on skill and employability enhancement,attending,"vishwakarma institute of technology, pune",others,students,2024,buldhana,7.9,5,0-2,8,no
narayan,narayan@xyz.com,1,talk on skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,others,students,2023,jalgaon,7.6,5,0-2,8,yes
pallavi,pallavi@xyz.com,1,talk on skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",cloud counselage website,students,2025,thane,6.4,5,0-2,9,no
narayan,narayan@xyz.com,1,talk on skill and employability enhancement,attending,"vishwakarma institute of technology, pune",others,students,2023,navi mumbai,8.4,6,0-2,9,no
sandeep,sandeep@xyz.com,1,talk on skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",email,students,2024,mumbai,6.6,8,0-2,17,yes
anand,anand@xyz.com,1,talk on skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",youtube|facebook|instagram|linkedin|whatsapp|email,students,2025,nagpur,7.8,8,0-2,13,yes
dilip,dilip@xyz.com,1,talk on skill and employability enhancement,attending,new horizon institute of technology and management ,others,students,2026,mahe,7.2,3,0-2,15,no
harsh,harsh@xyz.com,1,talk on skill and employability enhancement,attending,"ld college of engineering, ahmedabad, gujarat ",spoc|college professor,students,2025,barmer,9.7,5,0-2,9,no
ashok,ashok@xyz.com,1,talk on skill and employability enhancement,attending,dkte society's textile and engineering institute ichalkaranji,others,students,2024,bikaner,8.7,5,0-2,7,no
prakash,prakash@xyz.com,1,talk on skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,spoc|college professor,students,2026,jalor,8.8,8,0-2,19,yes
kundan,kundan@xyz.com,1,talk on skill and employability enhancement,attending,ap shah institute of technology ,others,students,2024,pali,8.7,8,0-2,9,yes
namdeo,namdeo@xyz.com,1,talk on skill and employability enhancement,attending,don bosco college of engineering fatorda goa,others,students,2025,sikar,9.1,3,0-2,20,no
dinkar,dinkar@xyz.com,1,talk on skill and employability enhancement,attending,pillai college of engineering new panvel,others,students,2024,ahemdabad,9.2,6,0-2,15,no
dinkar,dinkar@xyz.com,1,talk on skill and employability enhancement,attending,st xavier's college ,others,students,2023,amreli,7.3,3,0-2,17,no
satish,satish@xyz.com,1,talk on skill and employability enhancement,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",whatsapp,students,2026,godhra,7.1,6,0-2,13,no
subhash,subhash@xyz.com,1,talk on skill and employability enhancement,attending,government polytechnic gandhinagar,others,students,2024,jaipur,9.2,8,0-2,22,no
dipak,dipak@xyz.com,1,talk on skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2024,kota,7.5,8,0-2,15,yes
vilas,vilas@xyz.com,1,talk on skill and employability enhancement,attending,st.francis institute of technology,others,students,2025,pali,7.3,6,0-2,12,no
kailas,kailas@xyz.com,1,talk on skill and employability enhancement,attending,new horizon institute of technology and management ,others,students,2024,sikar,7.4,5,0-2,20,no
ashok,ashok@xyz.com,1,talk on skill and employability enhancement,attending,a. c. patil college of engineering,others,students,2025,chapra,7.3,5,0-2,8,no
dattatray,dattatray@xyz.com,1,talk on skill and employability enhancement,attending,wilson college ,others,students,2024,darbhanga,9.7,8,0-2,16,no
santosh,santosh@xyz.com,1,talk on skill and employability enhancement,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2024,gaya,7.9,6,0-2,21,yes
vilas,vilas@xyz.com,1,talk on skill and employability enhancement,attending,"thakur institute of management studies, career development & research - [timscdr]",others,students,2025,jamalpur,7.1,6,0-2,16,no
namdeo,namdeo@xyz.com,1,talk on skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",others,students,2024,munger,8.2,5,0-2,7,no
pramod,pramod@xyz.com,1,talk on skill and employability enhancement,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,whatsapp,students,2025,patna,6.8,6,0-2,20,yes
nilesh,nilesh@xyz.com,1,talk on skill and employability enhancement,attending,silicon institute of technology,others,students,2023,muzaffarpur,7.1,6,0-2,9,yes
patel,patel@xyz.com,1,talk on skill and employability enhancement,attending,adhiyamaan college of engineering,email,students,2024,sasaram,8.5,3,0-2,13,no
rathod,rathod@xyz.com,1,talk on skill and employability enhancement,attending,don bosco college of engineering fatorda goa,whatsapp,students,2024,siwan,9.1,6,0-2,24,no
patel,patel@xyz.com,1,talk on skill and employability enhancement,attending,pillai college of engineering new panvel,email,students,2025,chandigarh,9.5,6,0-2,17,yes
patel,patel@xyz.com,1,talk on skill and employability enhancement,attending,st xavier's college ,email,students,2023,ambikapur,6.7,5,0-2,11,yes
patel,patel@xyz.com,1,talk on skill and employability enhancement,attending,"vidyalankar institute of technology, mumbai",email,students,2023,bhilai,6.7,8,0-2,21,no
adhvika.v,adhvika.v@xyz.com,1,talk on skill and employability enhancement,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",others,students,2026,durg,8.2,5,0-2,8,no
prajapati,prajapati@xyz.com,1,talk on skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2025,raipur,6.5,3,0-2,9,no
patel,patel@xyz.com,1,talk on skill and employability enhancement,attending,government polytechnic gandhinagar,email,students,2024,daman,8.7,3,0-2,8,yes
santhana,santhana@xyz.com,1,talk on skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2024,diu,9.1,5,0-2,7,no
patel,patel@xyz.com,1,talk on skill and employability enhancement,attending,"vishwakarma institute of technology, pune",email,students,2023,silvassa,8.9,3,0-2,25,no
kenil,kenil@xyz.com,1,talk on skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",email,students,2025,delhi,7.4,3,0-2,21,no
yash,yash@xyz.com,1,talk on skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2023,new delhi,7.3,3,0-2,30,no
anghan,anghan@xyz.com,1,talk on skill and employability enhancement,attending,government polytechnic gandhinagar,whatsapp,students,2025,panji,8.6,3,0-2,24,no
rupapara,rupapara@xyz.com,1,talk on skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2024,madgaon,9.2,5,0-2,8,yes
garala,garala@xyz.com,1,talk on skill and employability enhancement,attending,"vishwakarma institute of technology, pune",whatsapp,students,2026,ahemdabad,7.8,5,0-2,19,yes
aarav,aarav@xyz.com,1,talk on skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,students,2024,amreli,7.9,5,0-2,21,no
harshil,harshil@xyz.com,1,talk on skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",email,students,2023,dwarka,9.9,3,0-2,17,no
taksh,taksh@xyz.com,1,talk on skill and employability enhancement,attending,st.francis institute of technology,whatsapp|spoc|college professor,students,2023,godhra,8.1,6,0-2,18,yes
kalkani,kalkani@xyz.com,1,talk on skill and employability enhancement,attending,new horizon institute of technology and management ,whatsapp,students,2025,jamnagar,9.5,6,0-2,14,yes
patel,patel@xyz.com,1,talk on skill and employability enhancement,attending,late g. n. sapkal college of engineering,email,students,2025,junagadh,9.8,8,0-2,25,no
sawan,sawan@xyz.com,1,talk on skill and employability enhancement,attending,"symbiosis institute of technology, pune",whatsapp,students,2024,kheda,9.6,5,0-2,8,no
akshita,akshita@xyz.com,1,talk on skill and employability enhancement,attending,a. c. patil college of engineering,whatsapp,students,2024,nadiad,6.2,5,0-2,8,yes
dharti,dharti@xyz.com,1,talk on skill and employability enhancement,attending,wilson college ,whatsapp,students,2023,navsari,9.1,6,0-2,15,no
yash,yash@xyz.com,1,talk on skill and employability enhancement,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2023,okha,7.2,3,0-2,7,no
sujal,sujal@xyz.com,1,talk on skill and employability enhancement,attending,dkte society's textile and engineering institute ichalkaranji,whatsapp,students,2025,rajkot,9.5,6,0-2,18,no
ayush,ayush@xyz.com,1,talk on skill and employability enhancement,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2024,surat,6.8,8,0-2,8,no
vasava,vasava@xyz.com,1,talk on skill and employability enhancement,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2025,valsad,8.4,5,0-2,5,no
ajinkya,ajinkya@xyz.com,1,talk on skill and employability enhancement,attending,government polytechnic gandhinagar,whatsapp,students,2024,bikaner,9.9,5,0-2,6,yes
patel neel,patelneel@xyz.com,1,talk on skill and employability enhancement,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2023,jaipur,6.6,8,0-2,6,yes
bhavani,bhavani@xyz.com,1,talk on skill and employability enhancement,attending,"vishwakarma institute of technology, pune",linkedin,students,2026,jalor,6.7,3,0-2,7,no
patel,patel@xyz.com,1,talk on skill and employability enhancement,attending,"kle society's college of bca, rls institute, belagavi",email,students,2024,jhalwar,7.6,5,0-2,7,no
rony,rony@xyz.com,1,talk on skill and employability enhancement,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2023,jodhpur,8.3,3,0-2,8,yes
darji,darji@xyz.com,1,talk on skill and employability enhancement,attending,new horizon institute of technology and management ,whatsapp,students,2025,pali,8.9,3,0-2,6,no
rohith,rohith@xyz.com,1,talk on skill and employability enhancement,attending,"mit academy of engineering ,alandi",whatsapp,students,2024,amreli,8.5,3,0-2,20,yes
bhuvanagiri,bhuvanagiri@xyz.com,1,talk on skill and employability enhancement,attending,a. c. patil college of engineering,whatsapp,students,2023,dwarka,8.8,6,0-2,5,no
venkata,venkata@xyz.com,1,talk on skill and employability enhancement,attending,wilson college ,whatsapp,students,2026,sirsa,7.9,8,0-2,7,no
rohit,rohit@xyz.com,1,talk on skill and employability enhancement,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2024,sonipat,7.5,5,0-2,9,no
